title,ingredients,directions,ingredients_clean,directions_clean,vegetarian
Banana Split Cake,"[""3 sticks margarine"", ""2 c. graham cracker crumbs"", ""2 c. confectioners sugar"", ""2 eggs"", ""4 bananas, sliced"", ""1 (No. 2) can crushed pineapple, drained"", ""1 large container Cool Whip"", ""1/2 c. chopped pecans"", ""1 small jar cherries""]","[""Crust:"", ""Blend 1 stick margarine and graham cracker crumbs. Press into a 9 x 13 x 2-inch dish.""]","3 sticks margarine"", ""2 c. graham cracker crumbs"", ""2 c. confectioners sugar"", ""2 eggs"", ""4 bananas, sliced"", ""1 (No. 2) can crushed pineapple, drained"", ""1 large container Cool Whip"", ""1/2 c. chopped pecans"", ""1 small jar cherries","Crust:"", ""Blend 1 stick margarine and graham cracker crumbs. Press into a 9 x 13 x 2-inch dish.",False
Curried Chicken Or Turkey,"[""1/4 c. oil"", ""1 bunch green onions, chopped"", ""1 small celery stalk, chopped"", ""1 green pepper, chopped"", ""2 Tbsp. sliced almonds"", ""2 c. water chestnuts"", ""3 c. sliced chicken or turkey"", ""3 Tbsp. flour"", ""1 tsp. curry powder"", ""1 tsp. paprika"", ""1/2 tsp. sweet basil"", ""1 1/2 c. chicken broth"", ""1/4 c. pimento"", ""1 c. pineapple bits, drained"", ""rice""]","[""Heat oil; saute onions, celery and green pepper until brown. Add almonds, water chestnuts and turkey."", ""Mix in flour and seasonings."", ""Saute lightly, stirring until well blended."", ""Mix in broth, pimento and pineapple."", ""Cover and let steam briefly. Season with salt and pepper."", ""Serve with rice.""]","1/4 c. oil"", ""1 bunch green onions, chopped"", ""1 small celery stalk, chopped"", ""1 green pepper, chopped"", ""2 Tbsp. sliced almonds"", ""2 c. water chestnuts"", ""3 c. sliced chicken or turkey"", ""3 Tbsp. flour"", ""1 tsp. curry powder"", ""1 tsp. paprika"", ""1/2 tsp. sweet basil"", ""1 1/2 c. chicken broth"", ""1/4 c. pimento"", ""1 c. pineapple bits, drained"", ""rice","Heat oil; saute onions, celery and green pepper until brown. Add almonds, water chestnuts and turkey."", ""Mix in flour and seasonings."", ""Saute lightly, stirring until well blended."", ""Mix in broth, pimento and pineapple."", ""Cover and let steam briefly. Season with salt and pepper."", ""Serve with rice.",False
Onion Blossom,"[""1 large Vidalia onion"", ""2 Tbsp. flour"", ""1 large egg, lightly beaten"", ""1 c. cracker crumbs or bread crumbs"", ""vegetable oil"", ""1/2 tsp. salt"", ""commercial dark honey mustard or Ranch-style salad dressing""]","[""Peel onion, leaving root end intact."", ""Cut onion vertically into quarters, cutting to within 1/2 inch of root end."", ""Cut each quarter into thirds.""]","1 large Vidalia onion"", ""2 Tbsp. flour"", ""1 large egg, lightly beaten"", ""1 c. cracker crumbs or bread crumbs"", ""vegetable oil"", ""1/2 tsp. salt"", ""commercial dark honey mustard or Ranch-style salad dressing","Peel onion, leaving root end intact."", ""Cut onion vertically into quarters, cutting to within 1/2 inch of root end."", ""Cut each quarter into thirds.",True
Sour Cream Fat-Free Pound Cake,"[""1 box Duncan Hines butter cake mix"", ""3/4 c. applesauce (no sugar)"", ""4 to 5 egg whites, well beaten"", ""1 (8 oz.) fat-free sour cream""]","[""Mix all together and bake at 350\u00b0 for 40 minutes or until done.""]","1 box Duncan Hines butter cake mix"", ""3/4 c. applesauce (no sugar)"", ""4 to 5 egg whites, well beaten"", ""1 (8 oz.) fat-free sour cream",Mix all together and bake at 350\u00b0 for 40 minutes or until done.,True
Dream Pie,"[""2 envelopes Dream Whip"", ""2 3/4 c. cold milk, divided"", ""1 tsp. vanilla"", ""2 pkg. Jell-O chocolate instant pudding"", ""1 baked pastry pie shell, cooled""]","[""Shell can be substituted for other type crust (6 ounce size). Beat whipped topping, 1 cup milk and vanilla in large bowl with electric mixer on high speed 6 minutes or until topping thickens and forms peaks."", ""Add remaining milk and pudding mixes; blend on low speed."", ""Beat on high speed 2 minutes, scraping bowl occasionally."", ""Spoon into pastry shell."", ""Refrigerate 4 hours. Makes 8 servings.""]","2 envelopes Dream Whip"", ""2 3/4 c. cold milk, divided"", ""1 tsp. vanilla"", ""2 pkg. Jell-O chocolate instant pudding"", ""1 baked pastry pie shell, cooled","Shell can be substituted for other type crust (6 ounce size). Beat whipped topping, 1 cup milk and vanilla in large bowl with electric mixer on high speed 6 minutes or until topping thickens and forms peaks."", ""Add remaining milk and pudding mixes; blend on low speed."", ""Beat on high speed 2 minutes, scraping bowl occasionally."", ""Spoon into pastry shell."", ""Refrigerate 4 hours. Makes 8 servings.",True
Good Christmas Cookies,"[""1 c. butter"", ""1 1/2 c. powdered sugar"", ""1 egg"", ""1 tsp. vanilla"", ""1/2 tsp. almond extract"", ""2 1/2 c. flour"", ""1 tsp. soda"", ""1 tsp. cream of tartar"", ""1 lb. oleo"", ""2 1/4 c. sugar"", ""3 1/2 c. flour"", ""1 tsp. soda"", ""2 tsp. vanilla""]","[""Mix ingredients and roll into balls the size of small walnuts. Flatten with bottom of glass (oiled and coated with sugar). Sprinkle cinnamon on top (optional)."", ""Bake at 325\u00b0 about 13 to 14 minutes.""]","1 c. butter"", ""1 1/2 c. powdered sugar"", ""1 egg"", ""1 tsp. vanilla"", ""1/2 tsp. almond extract"", ""2 1/2 c. flour"", ""1 tsp. soda"", ""1 tsp. cream of tartar"", ""1 lb. oleo"", ""2 1/4 c. sugar"", ""3 1/2 c. flour"", ""1 tsp. soda"", ""2 tsp. vanilla","Mix ingredients and roll into balls the size of small walnuts. Flatten with bottom of glass (oiled and coated with sugar). Sprinkle cinnamon on top (optional)."", ""Bake at 325\u00b0 about 13 to 14 minutes.",True
Cream Of Corn Soup,"[""2 strips bacon, finely chopped"", ""2 Tbsp. finely chopped onion"", ""2 c. frozen or fresh corn"", ""2 Tbsp. butter"", ""2 Tbsp. flour"", ""2 c. milk"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""2 c. light cream""]","[""Fry finely chopped bacon until crisp; add onion and saute until soft."", ""Put corn through a food chopper; add to onion and bacon."", ""Cook until begins to brown."", ""Add butter, then flour."", ""Cook slowly for 3 minutes."", ""Add milk, salt and pepper; cook until thickened."", ""Then add cream; heat and stir until smooth.""]","2 strips bacon, finely chopped"", ""2 Tbsp. finely chopped onion"", ""2 c. frozen or fresh corn"", ""2 Tbsp. butter"", ""2 Tbsp. flour"", ""2 c. milk"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""2 c. light cream","Fry finely chopped bacon until crisp; add onion and saute until soft."", ""Put corn through a food chopper; add to onion and bacon."", ""Cook until begins to brown."", ""Add butter, then flour."", ""Cook slowly for 3 minutes."", ""Add milk, salt and pepper; cook until thickened."", ""Then add cream; heat and stir until smooth.",False
Southern Squash Casserole,"[""6 medium yellow squash"", ""1 c. milk"", ""2 eggs, lightly beaten"", ""1 c. grated cheese"", ""1 1/2 c. saltine cracker crumbs"", ""1 medium onion, finely chopped"", ""1/2 stick margarine, melted"", ""salt and pepper to taste""]","[""Cook squash until tender; drain off water."", ""Add all other ingredients."", ""Pour into greased casserole dish."", ""Bake at 350\u00b0 until top is golden brown and bubbly.""]","6 medium yellow squash"", ""1 c. milk"", ""2 eggs, lightly beaten"", ""1 c. grated cheese"", ""1 1/2 c. saltine cracker crumbs"", ""1 medium onion, finely chopped"", ""1/2 stick margarine, melted"", ""salt and pepper to taste","Cook squash until tender; drain off water."", ""Add all other ingredients."", ""Pour into greased casserole dish."", ""Bake at 350\u00b0 until top is golden brown and bubbly.",True
Broccoli Cornbread,"[""1 (10 oz.) pkg. frozen chopped broccoli, thawed"", ""1 (8 1/2 oz.) pkg. cornbread mix"", ""3 eggs, beaten"", ""1 medium onion, chopped"", ""1 c. shredded Cheddar cheese"", ""1/2 c. butter, melted"", ""1/2 tsp. salt"", ""1/2 tsp. garlic powder (or less)""]","[""Press broccoli between paper towels to remove excess moisture. Combine cornbread mix, eggs, onion, cheese, butter and seasonings."", ""Stir well."", ""Add to broccoli and mix gently (batter will be thick)."", ""Pour into greased 8-inch baking pan."", ""Bake at 375\u00b0 for 25 to 30 minutes.""]","1 (10 oz.) pkg. frozen chopped broccoli, thawed"", ""1 (8 1/2 oz.) pkg. cornbread mix"", ""3 eggs, beaten"", ""1 medium onion, chopped"", ""1 c. shredded Cheddar cheese"", ""1/2 c. butter, melted"", ""1/2 tsp. salt"", ""1/2 tsp. garlic powder (or less)","Press broccoli between paper towels to remove excess moisture. Combine cornbread mix, eggs, onion, cheese, butter and seasonings."", ""Stir well."", ""Add to broccoli and mix gently (batter will be thick)."", ""Pour into greased 8-inch baking pan."", ""Bake at 375\u00b0 for 25 to 30 minutes.",True
World's Best Roast,"[""3 or 4 lb. roast"", ""1 large onion, sliced"", ""1 can mushroom soup"", ""potatoes, carrots and 1 jar mushrooms""]","[""Use deep, long pan."", ""Line with foil."", ""Place roast in bottom. Cover with onion slices and mushrooms."", ""Pour soup over roast."", ""Add vegetables."", ""Cook at 325\u00b0 for 3 1/2 to 4 hours.""]","3 or 4 lb. roast"", ""1 large onion, sliced"", ""1 can mushroom soup"", ""potatoes, carrots and 1 jar mushrooms","Use deep, long pan."", ""Line with foil."", ""Place roast in bottom. Cover with onion slices and mushrooms."", ""Pour soup over roast."", ""Add vegetables."", ""Cook at 325\u00b0 for 3 1/2 to 4 hours.",True
Biscuits,"[""2 c. self-rising flour"", ""1/2 c. cooking oil"", ""3/4 c. milk""]","[""Place flour in medium mixing bowl."", ""In small bowl, mix oil and water."", ""Add to flour all at once."", ""Stir until all the flour is wet."", ""Turn out on lightly floured surface."", ""Knead 10 times."", ""Roll out until dough is about as thick as your first finger is."", ""Cut with biscuit cutter or 2-inch glass."", ""Leftover dough may be gathered and rekneaded about 5 times."", ""Flatten and cut as before. Bake in 450\u00b0 oven on ungreased baking sheet until brown."", ""Serve hot!""]","2 c. self-rising flour"", ""1/2 c. cooking oil"", ""3/4 c. milk","Place flour in medium mixing bowl."", ""In small bowl, mix oil and water."", ""Add to flour all at once."", ""Stir until all the flour is wet."", ""Turn out on lightly floured surface."", ""Knead 10 times."", ""Roll out until dough is about as thick as your first finger is."", ""Cut with biscuit cutter or 2-inch glass."", ""Leftover dough may be gathered and rekneaded about 5 times."", ""Flatten and cut as before. Bake in 450\u00b0 oven on ungreased baking sheet until brown."", ""Serve hot!",True
Lo-Cal Snickers Pie,"[""1 1/2 c. sugar-free chocolate ice cream or yogurt, softened"", ""8 oz. tub light Cool Whip or chocolate Cool Whip, softened"", ""small box instant Jell-O chocolate or chocolate fudge pudding mix"", ""1 heaping Tbsp. crunchy peanut butter"", ""3 oz. Grape-Nuts cereal""]","[""Mix first 2 ingredients in a large bowl until well blended. Sprinkle pudding mix over ice cream/Cool Whip mixture and blend. Add peanut butter and cereal to mixture."", ""Mix together."", ""Spray 9-inch pan with Pam."", ""Fold mixture into pan."", ""Cover and freeze.""]","1 1/2 c. sugar-free chocolate ice cream or yogurt, softened"", ""8 oz. tub light Cool Whip or chocolate Cool Whip, softened"", ""small box instant Jell-O chocolate or chocolate fudge pudding mix"", ""1 heaping Tbsp. crunchy peanut butter"", ""3 oz. Grape-Nuts cereal","Mix first 2 ingredients in a large bowl until well blended. Sprinkle pudding mix over ice cream/Cool Whip mixture and blend. Add peanut butter and cereal to mixture."", ""Mix together."", ""Spray 9-inch pan with Pam."", ""Fold mixture into pan."", ""Cover and freeze.",True
Chicken Rice Soup,"[""1 whole chicken, cut apart"", ""1 onion, chopped"", ""1 1/2 tsp. salt"", ""1 c. rice, cooked"", ""2 qt. water"", ""3/4 c. celery, chopped"", ""dash of pepper""]","[""In a large kettle, combine chicken, water, onion, celery, salt and pepper."", ""Cook until chicken is tender, about 1 1/2 hours. Remove chicken from broth and pick meat from bone."", ""Return to broth with rice."", ""Heat thoroughly.""]","1 whole chicken, cut apart"", ""1 onion, chopped"", ""1 1/2 tsp. salt"", ""1 c. rice, cooked"", ""2 qt. water"", ""3/4 c. celery, chopped"", ""dash of pepper","In a large kettle, combine chicken, water, onion, celery, salt and pepper."", ""Cook until chicken is tender, about 1 1/2 hours. Remove chicken from broth and pick meat from bone."", ""Return to broth with rice."", ""Heat thoroughly.",False
David's Pork Chops And Rice,"[""pork chops"", ""2 c. water"", ""1 packet seasoning"", ""Rice-A-Roni (chicken flavored)""]","[""Brown pork chops in hot skillet just until white."", ""Add Rice-A-Roni in a 9 x 13-inch dish mixed with 2 cups water and packet of seasoning."", ""Place pork chops on top."", ""Bake 30 minutes in a 300\u00b0 oven.""]","pork chops"", ""2 c. water"", ""1 packet seasoning"", ""Rice-A-Roni (chicken flavored)","Brown pork chops in hot skillet just until white."", ""Add Rice-A-Roni in a 9 x 13-inch dish mixed with 2 cups water and packet of seasoning."", ""Place pork chops on top."", ""Bake 30 minutes in a 300\u00b0 oven.",False
Breakfast Casserole,"[""6 eggs"", ""2 c. milk"", ""6 slices toast"", ""1 lb. sausage or bacon"", ""8 oz. shredded cheese"", ""1 tsp. dry mustard"", ""1/2 tsp. salt""]","[""Brown meat and drain. Cover bottom of an 8 x 11-inch dish with toast pieces. Scatter sausage or bacon over toast, then cheese. Beat eggs."", ""Mix milk, mustard and salt."", ""Add eggs and pour over top of cheese."", ""Refrigerate overnight."", ""Bake at 350\u00b0 for 45 minutes.""]","6 eggs"", ""2 c. milk"", ""6 slices toast"", ""1 lb. sausage or bacon"", ""8 oz. shredded cheese"", ""1 tsp. dry mustard"", ""1/2 tsp. salt","Brown meat and drain. Cover bottom of an 8 x 11-inch dish with toast pieces. Scatter sausage or bacon over toast, then cheese. Beat eggs."", ""Mix milk, mustard and salt."", ""Add eggs and pour over top of cheese."", ""Refrigerate overnight."", ""Bake at 350\u00b0 for 45 minutes.",False
Low Calorie Spiced Tea Mix,"[""3 Tbsp. Tang"", ""1 c. lemon flavored ice tea mix with Equal"", ""1 Tbsp. apple pie spice"", ""1 (.49 oz.) pkg. lemonade mix with Equal""]","[""Combine all the ingredients."", ""Mix well."", ""Store in an airtight container."", ""Makes 48 servings; one serving equals 3 calories.""]","3 Tbsp. Tang"", ""1 c. lemon flavored ice tea mix with Equal"", ""1 Tbsp. apple pie spice"", ""1 (.49 oz.) pkg. lemonade mix with Equal","Combine all the ingredients."", ""Mix well."", ""Store in an airtight container."", ""Makes 48 servings; one serving equals 3 calories.",True
Hot Buttered Cheerios,"[""1/4 c. butter or margarine"", ""4 c. Cheerios (cereal)"", ""salt""]","[""Melt butter in 10-inch skillet over low heat. Add cereal; cook and stir until well coated and hot, 2 to 3 minutes."", ""Sprinkle with salt. Serve warm or cold.""]","1/4 c. butter or margarine"", ""4 c. Cheerios (cereal)"", ""salt","Melt butter in 10-inch skillet over low heat. Add cereal; cook and stir until well coated and hot, 2 to 3 minutes."", ""Sprinkle with salt. Serve warm or cold.",True
Gumdrops,"[""1 c. shortening"", ""1 c. brown sugar"", ""1 c. sugar"", ""2 eggs"", ""2 Tbsp. water"", ""2 c. flour"", ""1 tsp. baking powder"", ""1 tsp. soda"", ""1 tsp. salt"", ""3 c. oats"", ""1/2 c. gumdrops (I use lots more here)""]","[""Cream shortening, sugars, eggs and water."", ""Sift the flour, baking powder, soda and salt, and then add into mixture."", ""Finally, add in oats and gumdrops."", ""Shape into balls."", ""Roll in coconut. Bake at 350\u00b0 until lightly browned.""]","1 c. shortening"", ""1 c. brown sugar"", ""1 c. sugar"", ""2 eggs"", ""2 Tbsp. water"", ""2 c. flour"", ""1 tsp. baking powder"", ""1 tsp. soda"", ""1 tsp. salt"", ""3 c. oats"", ""1/2 c. gumdrops (I use lots more here)","Cream shortening, sugars, eggs and water."", ""Sift the flour, baking powder, soda and salt, and then add into mixture."", ""Finally, add in oats and gumdrops."", ""Shape into balls."", ""Roll in coconut. Bake at 350\u00b0 until lightly browned.",True
Shrimp Spread,"[""1 can tomato soup"", ""1 (8 oz.) pkg. Philadelphia cream cheese"", ""1/4 c. water"", ""1 c. Hellmann's mayonnaise"", ""1 small finely chopped onion"", ""1 c. finely chopped celery"", ""1 pkg. Knox gelatine"", ""2 tsp. water"", ""15 to 20 small shrimp (1 can), well drained""]","[""Heat 1/4 cup water and soup in large pan."", ""Melt in cheese. Beat until smooth."", ""Dissolve package of gelatine in water and add to soup."", ""Add mayonnaise."", ""Fold in onion, celery and shrimp."", ""Pour into mold greased with Crisco."", ""Refrigerate 6 to 8 hours.""]","1 can tomato soup"", ""1 (8 oz.) pkg. Philadelphia cream cheese"", ""1/4 c. water"", ""1 c. Hellmann's mayonnaise"", ""1 small finely chopped onion"", ""1 c. finely chopped celery"", ""1 pkg. Knox gelatine"", ""2 tsp. water"", ""15 to 20 small shrimp (1 can), well drained","Heat 1/4 cup water and soup in large pan."", ""Melt in cheese. Beat until smooth."", ""Dissolve package of gelatine in water and add to soup."", ""Add mayonnaise."", ""Fold in onion, celery and shrimp."", ""Pour into mold greased with Crisco."", ""Refrigerate 6 to 8 hours.",False
Red Beans And Rice(My Way)  ,"[""1 (15 oz.) can red beans"", ""2 (1 lb.) cans whole tomatoes"", ""1 pkg. sliced fresh mushrooms"", ""1 large onion, diced"", ""1 smoked sausage, cut in bite-size pieces"", ""1 (12 oz.) pkg. Italian sausage"", ""1/2 large can tomato juice""]","[""Cook Italian sausage."", ""Cut into bite-size pieces."", ""Put everything into a pot and simmer for about 2 hours."", ""Serve over rice.""]","1 (15 oz.) can red beans"", ""2 (1 lb.) cans whole tomatoes"", ""1 pkg. sliced fresh mushrooms"", ""1 large onion, diced"", ""1 smoked sausage, cut in bite-size pieces"", ""1 (12 oz.) pkg. Italian sausage"", ""1/2 large can tomato juice","Cook Italian sausage."", ""Cut into bite-size pieces."", ""Put everything into a pot and simmer for about 2 hours."", ""Serve over rice.",False
No-Grog Nog,"[""1 egg"", ""2 Tbsp. sugar"", ""1 c. cold milk"", ""1/2 Tbsp. vanilla""]","[""Blend in blender on medium speed."", ""Pour in glass. Sprinkle with nutmeg."", ""Makes 1 serving.""]","1 egg"", ""2 Tbsp. sugar"", ""1 c. cold milk"", ""1/2 Tbsp. vanilla","Blend in blender on medium speed."", ""Pour in glass. Sprinkle with nutmeg."", ""Makes 1 serving.",True
Coconut Cherry Drops,"[""1 1/4 c. all-purpose flour"", ""1/2 tsp. double-acting baking powder"", ""1/2 tsp. salt"", ""1/2 c. butter"", ""1/2 c. sugar"", ""1 egg"", ""1/2 tsp. almond extract"", ""1/4 c. maraschino cherries"", ""1 c. coconut"", ""1/2 c. pecans""]","[""Sift flour, baking powder and salt."", ""Cream butter and sugar. Add egg and almond extract and beat well."", ""Blend in the dry ingredients gradually."", ""Mix thoroughly."", ""Add cherries, coconut and pecans."", ""Mix well.""]","1 1/4 c. all-purpose flour"", ""1/2 tsp. double-acting baking powder"", ""1/2 tsp. salt"", ""1/2 c. butter"", ""1/2 c. sugar"", ""1 egg"", ""1/2 tsp. almond extract"", ""1/4 c. maraschino cherries"", ""1 c. coconut"", ""1/2 c. pecans","Sift flour, baking powder and salt."", ""Cream butter and sugar. Add egg and almond extract and beat well."", ""Blend in the dry ingredients gradually."", ""Mix thoroughly."", ""Add cherries, coconut and pecans."", ""Mix well.",True
Kentucky Fruitcake,"[""2 c. raisins"", ""1 c. currants"", ""1/3 c. chopped candied citron"", ""1/3 c. pineapple"", ""1/3 c. cherries"", ""1/2 tsp. baking powder"", ""1 tsp. cinnamon"", ""1 tsp. allspice"", ""2/3 c. sugar"", ""1/3 c. molasses"", ""1 c. coarsely chopped almonds"", ""1 c. coarsely chopped pecans"", ""1 1/3 c. flour, sifted"", ""1/2 tsp. nutmeg"", ""1/2 c. and 2 tsp. butter or margarine, softened"", ""1/3 c. brandy"", ""4 eggs"", ""1/3 c. milk""]","[""Note:"", ""Candied citron, pineapple and cherries can be substituted with 1 cup mixed candied fruits.""]","2 c. raisins"", ""1 c. currants"", ""1/3 c. chopped candied citron"", ""1/3 c. pineapple"", ""1/3 c. cherries"", ""1/2 tsp. baking powder"", ""1 tsp. cinnamon"", ""1 tsp. allspice"", ""2/3 c. sugar"", ""1/3 c. molasses"", ""1 c. coarsely chopped almonds"", ""1 c. coarsely chopped pecans"", ""1 1/3 c. flour, sifted"", ""1/2 tsp. nutmeg"", ""1/2 c. and 2 tsp. butter or margarine, softened"", ""1/3 c. brandy"", ""4 eggs"", ""1/3 c. milk","Note:"", ""Candied citron, pineapple and cherries can be substituted with 1 cup mixed candied fruits.",True
Taquitos,"[""Shredded Roast Beef or Chicken"", ""Onions"", ""Green Chilies"", ""Cheddar Cheese"", ""Small Cooked Potatoes, diced"", ""Pepper"", ""Corn Tortillas"", ""Hot Oil"", ""Sour Cream"", ""Salsa guacamole""]","[""In bowl mix shredded roast beef or chicken; add onions, green chilies, Cheddar cheese, small diced cooked potatoes and pepper. Mix together."", ""Warm corn tortillas; fill with chicken/beef and roll tightly and small."", ""Fry in skillet with hot oil."", ""Eat with sour cream, salsa and guacamole.""]","Shredded Roast Beef or Chicken"", ""Onions"", ""Green Chilies"", ""Cheddar Cheese"", ""Small Cooked Potatoes, diced"", ""Pepper"", ""Corn Tortillas"", ""Hot Oil"", ""Sour Cream"", ""Salsa guacamole","In bowl mix shredded roast beef or chicken; add onions, green chilies, Cheddar cheese, small diced cooked potatoes and pepper. Mix together."", ""Warm corn tortillas; fill with chicken/beef and roll tightly and small."", ""Fry in skillet with hot oil."", ""Eat with sour cream, salsa and guacamole.",True
New Year's Casserole,"[""2 c. chicken, cooked and shredded"", ""1 (16 oz.) can green beans, drained"", ""2 c. rice, cooked"", ""1 can cream of mushroom soup"", ""1/2 c. mayonnaise"", ""1/2 c. sliced water chestnuts, drained"", ""1 (4 oz.) can mushrooms, drained""]","[""Combine all ingredients in a large bowl."", ""Mix well."", ""Place in a greased casserole."", ""Bake in a preheated 350\u00b0 oven for 30 minutes."", ""Serves 6.""]","2 c. chicken, cooked and shredded"", ""1 (16 oz.) can green beans, drained"", ""2 c. rice, cooked"", ""1 can cream of mushroom soup"", ""1/2 c. mayonnaise"", ""1/2 c. sliced water chestnuts, drained"", ""1 (4 oz.) can mushrooms, drained","Combine all ingredients in a large bowl."", ""Mix well."", ""Place in a greased casserole."", ""Bake in a preheated 350\u00b0 oven for 30 minutes."", ""Serves 6.",False
Hush Puppies,"[""1 1/2 c. cornmeal"", ""2 tsp. baking powder"", ""3/4 c. milk"", ""1 small onion"", ""1/2 c. flour"", ""1 tsp. salt"", ""1 egg, beaten""]","[""Combine dry ingredients."", ""Add milk, egg and onion; mix well. Drop by rounded teaspoonfuls into deep, hot oil."", ""Fry only a few minutes, or until golden brown on both sides."", ""May be served with tomato gravy and applesauce.""]","1 1/2 c. cornmeal"", ""2 tsp. baking powder"", ""3/4 c. milk"", ""1 small onion"", ""1/2 c. flour"", ""1 tsp. salt"", ""1 egg, beaten","Combine dry ingredients."", ""Add milk, egg and onion; mix well. Drop by rounded teaspoonfuls into deep, hot oil."", ""Fry only a few minutes, or until golden brown on both sides."", ""May be served with tomato gravy and applesauce.",True
M & M Cookies,"[""1 c. Crisco"", ""1 c. brown sugar"", ""1/2 c. granulated sugar"", ""1 tsp. vanilla"", ""1/2 tsp. water"", ""2 eggs"", ""2 c. plus 4 Tbsp. all-purpose flour"", ""1 tsp. soda"", ""1 tsp. salt"", ""1 1/2 c. M & M plain candies""]","[""Blend Crisco and sugars."", ""Beat in vanilla, water, and egg. Sift dry ingredients together and add to sugar and egg mixture. Mix well. Stir in M & M's.\tDrop by teaspoon onto ungreased cookie sheet."", ""Bake at 375\u00b0 for 10 to 12 minutes until golden brown. Yield: 6 dozen cookies.""]","1 c. Crisco"", ""1 c. brown sugar"", ""1/2 c. granulated sugar"", ""1 tsp. vanilla"", ""1/2 tsp. water"", ""2 eggs"", ""2 c. plus 4 Tbsp. all-purpose flour"", ""1 tsp. soda"", ""1 tsp. salt"", ""1 1/2 c. M & M plain candies","Blend Crisco and sugars."", ""Beat in vanilla, water, and egg. Sift dry ingredients together and add to sugar and egg mixture. Mix well. Stir in M & M's.\tDrop by teaspoon onto ungreased cookie sheet."", ""Bake at 375\u00b0 for 10 to 12 minutes until golden brown. Yield: 6 dozen cookies.",True
Zucchini Stuffing Casserole,"[""4 medium zucchini, sliced 1/2-inch thick"", ""6 Tbsp. butter"", ""3/4 c. shredded carrots"", ""1/2 c. chopped onion"", ""2 1/4 c. herbed stuffing cubes"", ""1 (10 3/4 oz.) cream of chicken soup"", ""1/2 c. sour cream""]","[""Cook zucchini in boiling salt water until just tender."", ""Drain. In saucepan, melt 4 tablespoons butter."", ""Add carrots and onion. Saute until tender."", ""Remove from heat."", ""Stir in 1/2 cup stuffing cubes, soup and sour cream."", ""Gently stir in zucchini."", ""Spoon into 1 1/2-quart casserole."", ""Melt 2 tablespoons butter."", ""Add remaining stuffing cubes and toss gently."", ""Sprinkle over casserole."", ""Bake at 350\u00b0 for 30 to 40 minutes.""]","4 medium zucchini, sliced 1/2-inch thick"", ""6 Tbsp. butter"", ""3/4 c. shredded carrots"", ""1/2 c. chopped onion"", ""2 1/4 c. herbed stuffing cubes"", ""1 (10 3/4 oz.) cream of chicken soup"", ""1/2 c. sour cream","Cook zucchini in boiling salt water until just tender."", ""Drain. In saucepan, melt 4 tablespoons butter."", ""Add carrots and onion. Saute until tender."", ""Remove from heat."", ""Stir in 1/2 cup stuffing cubes, soup and sour cream."", ""Gently stir in zucchini."", ""Spoon into 1 1/2-quart casserole."", ""Melt 2 tablespoons butter."", ""Add remaining stuffing cubes and toss gently."", ""Sprinkle over casserole."", ""Bake at 350\u00b0 for 30 to 40 minutes.",False
Cheese Straws,"[""3 c. sharp Cheddar cheese"", ""1 1/2 sticks butter"", ""1 1/2 to 1 3/4 c. flour"", ""1 tsp. salt"", ""1/4 tsp. cayenne pepper""]","[""Mix cheese and butter and"", ""mix in mixer."", ""Add remaining ingredients."", ""Mix well and put on"", ""cookie sheet."", ""Use star shape cookie press. Bake at 350\u00b0 for 12 minutes.""]","3 c. sharp Cheddar cheese"", ""1 1/2 sticks butter"", ""1 1/2 to 1 3/4 c. flour"", ""1 tsp. salt"", ""1/4 tsp. cayenne pepper","Mix cheese and butter and"", ""mix in mixer."", ""Add remaining ingredients."", ""Mix well and put on"", ""cookie sheet."", ""Use star shape cookie press. Bake at 350\u00b0 for 12 minutes.",True
Wesson Oil Pie Crust,"[""2 c. flour"", ""1/2 c. oil"", ""1/2 tsp. salt"", ""1/4 c. water""]","[""For Double Crust:"", ""Sift flour; measure."", ""Add salt."", ""Measure oil."", ""Add water; stir."", ""Pour into flour; mix with fork."", ""Roll between wax paper.""]","2 c. flour"", ""1/2 c. oil"", ""1/2 tsp. salt"", ""1/4 c. water","For Double Crust:"", ""Sift flour; measure."", ""Add salt."", ""Measure oil."", ""Add water; stir."", ""Pour into flour; mix with fork."", ""Roll between wax paper.",True
Green Bean Casserole,"[""1 bag frozen green beans (French-cut)"", ""1 can cream of mushroom soup"", ""3/4 c. milk"", ""Durkee fried onions""]","[""Thaw and drain beans."", ""Place in casserole."", ""Mix soup with milk."", ""Pour over beans."", ""Mix half of onions in."", ""Place in 350\u00b0 oven for 20 minutes."", ""Remove from oven and place remaining onions on top."", ""Bake until beans are tender.""]","1 bag frozen green beans (French-cut)"", ""1 can cream of mushroom soup"", ""3/4 c. milk"", ""Durkee fried onions","Thaw and drain beans."", ""Place in casserole."", ""Mix soup with milk."", ""Pour over beans."", ""Mix half of onions in."", ""Place in 350\u00b0 oven for 20 minutes."", ""Remove from oven and place remaining onions on top."", ""Bake until beans are tender.",True
